end station id,N,name,latitude,longitude
72,22,W 52 St & 11 Ave,40.76727216,-73.99392888
79,16,Franklin St & W Broadway,40.71911552,-74.00666661
82,5,St James Pl & Pearl St,40.71117416,-74.00016545
83,17,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
116,44,W 17 St & 8 Ave,40.74177603,-74.00149746
119,1,Park Ave & St Edwards St,40.69608941,-73.97803415
120,2,Lexington Ave & Classon Ave,40.68676793,-73.95928168
127,27,Barrow St & Hudson St,40.73172428,-74.00674436
128,34,MacDougal St & Prince St,40.72710258,-74.00297088
143,26,Clinton St & Joralemon St,40.69239502,-73.99337909
144,4,Nassau St & Navy St,40.69839895,-73.98068914
146,19,Hudson St & Reade St,40.71625008,-74.0091059
150,3,E 2 St & Avenue C,40.7208736,-73.98085795
151,46,Cleveland Pl & Spring St,40.722103786686,-73.997249007225
157,5,Henry St & Atlantic Ave,40.69089272,-73.99612349
161,11,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
164,32,E 47 St & 2 Ave,40.75323098,-73.97032517
167,30,E 39 St & 3 Ave,40.7489006,-73.97604882
168,55,W 18 St & 6 Ave,40.73971301,-73.99456405
173,50,Broadway & W 49 St,40.7606832709659,-73.9845272898674
174,28,E 25 St & 1 Ave,40.7381765,-73.97738662
195,40,Liberty St & Broadway,40.70905623,-74.01043382
212,35,W 16 St & The High Line,40.74334935,-74.00681753
216,2,Columbia Heights & Cranberry St,40.70037867,-73.99548059
217,26,Old Fulton St,40.70277159,-73.99383605
223,32,W 13 St & 7 Ave,40.73781509,-73.99994661
224,18,Spruce St & Nassau St,40.71146364,-74.00552427
228,22,E 48 St & 3 Ave,40.7546011026,-73.971878855
229,42,Great Jones St,40.72743423,-73.99379025
236,8,St Marks Pl & 2 Ave,40.7284186,-73.98713956
237,18,E 11 St & 2 Ave,40.73047309,-73.98672378
238,7,Bank St & Washington St,40.7361967,-74.00859207
239,19,Willoughby St & Fleet St,40.69196566,-73.9813018
241,7,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121
242,6,Carlton Ave & Flushing Ave,40.697787,-73.973736
243,7,Fulton St & Rockwell Pl,40.688226,-73.979382
244,6,Willoughby Ave & Hall St,40.69196035,-73.96536851
245,4,Myrtle Ave & St Edwards St,40.69327018,-73.97703874
247,9,Perry St & Bleecker St,40.73535398,-74.00483091
248,9,Laight St & Hudson St,40.72185379,-74.00771779
249,10,Harrison St & Hudson St,40.71870987,-74.0090009
250,9,Lafayette St & Jersey St,40.72456089,-73.99565293
251,32,Mott St & Prince St,40.72317958,-73.99480012
252,22,MacDougal St & Washington Sq,40.73226398,-73.99852205
254,12,W 11 St & 6 Ave,40.73532427,-73.99800419
257,34,Lispenard St & Broadway,40.71939226,-74.00247214
258,7,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
259,20,South St & Whitehall St,40.70122128,-74.01234218
260,7,Broad St & Bridge St,40.70365182,-74.01167797
261,4,Johnson St & Gold St,40.69474881,-73.98362464
262,6,Washington Park,40.6917823,-73.9737299
264,13,Maiden Ln & Pearl St,40.70706456,-74.00731853
265,16,Stanton St & Chrystie St,40.72229346,-73.99147535
266,7,Avenue D & E 8 St,40.72368361,-73.97574813
267,10,Broadway & W 36 St,40.75097711,-73.98765428
268,24,Howard St & Centre St,40.71910537,-73.99973337
270,4,Adelphi St & Myrtle Ave,40.69308257,-73.97178913
274,11,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682
275,4,Washington Ave & Greene Ave,40.68650065,-73.96563307
276,14,Duane St & Greenwich St,40.71748752,-74.0104554
278,4,Concord St & Bridge St,40.69766564,-73.98476437
279,14,Peck Slip & Front St,40.707873,-74.00167
280,20,E 10 St & 5 Ave,40.73331967,-73.99510132
281,69,Grand Army Plaza & Central Park S,40.7643971,-73.97371465
282,7,Kent Ave & S 11 St,40.7076449441757,-73.9684152603149
284,42,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
285,60,Broadway & E 14 St,40.73454567,-73.99074142
289,1,Monroe St & Classon Ave,40.6845683,-73.95881081
291,5,Madison St & Montgomery St,40.713126,-73.984844
293,66,Lafayette St & E 8 St,40.7302066052996,-73.9910262823105
295,8,Pike St & E Broadway,40.71406667,-73.99293911
296,13,Division St & Bowery,40.71413089,-73.9970468
297,32,E 15 St & 3 Ave,40.734232,-73.986923
298,9,3 Ave & Schermerhorn St,40.68683208,-73.9796772
301,8,E 2 St & Avenue B,40.72217444,-73.98368779
302,11,Avenue D & E 3 St,40.72082834,-73.97793172
303,22,Mercer St & Spring St,40.72362738,-73.99949601
304,53,Broadway & Battery Pl,40.70463334,-74.01361706
305,37,E 58 St & 3 Ave,40.76095756,-73.96724467
307,12,Canal St & Rutgers St,40.71427487,-73.98990025
308,7,St James Pl & Oliver St,40.71307916,-73.99851193
309,28,Murray St & West St,40.7149787,-74.013012
310,13,State St & Smith St,40.68926942,-73.98912867
311,15,Norfolk St & Broome St,40.7172274,-73.98802084
312,22,Allen St & Stanton St,40.722055,-73.989111
313,8,Washington Ave & Park Ave,40.69610226,-73.96751037
314,15,Cadman Plaza West & Montague St,40.69383,-73.990539
315,39,South St & Gouverneur Ln,40.70355377,-74.00670227
316,13,Fulton St & William St,40.70955958,-74.00653609
317,11,E 6 St & Avenue B,40.72453734,-73.98185424
319,34,Fulton St & Broadway,40.711066,-74.009447
320,29,Leonard St & Church St,40.717571,-74.005549
321,14,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
323,20,Lawrence St & Willoughby St,40.69236178,-73.98631746
324,20,DeKalb Ave & Hudson Ave,40.689888,-73.981013
325,19,E 19 St & 3 Ave,40.73624527,-73.98473765
326,16,E 11 St & 1 Ave,40.72953837,-73.98426726
327,47,Vesey Pl & River Terrace,40.7153379,-74.01658354
328,15,Watts St & Greenwich St,40.72405549,-74.00965965
330,11,Reade St & Broadway,40.71450451,-74.00562789
331,7,Pike St & Monroe St,40.71173107,-73.99193043
332,5,Cherry St,40.71219906,-73.97948148
334,22,W 20 St & 7 Ave,40.74238787,-73.99726235
335,36,Washington Pl & Broadway,40.72903917,-73.99404649
336,19,Sullivan St & Washington Sq,40.73047747,-73.99906065
337,36,Old Slip & Front St,40.7037992,-74.00838676
339,5,Avenue D & E 12 St,40.72580614,-73.97422494
340,9,Madison St & Clinton St,40.71269042,-73.98776323
341,6,Stanton St & Mangin St,40.71782143,-73.97628939
342,9,Columbia St & Rivington St,40.71739973,-73.98016555
343,7,Clinton Ave & Flushing Ave,40.69794,-73.96986848
344,4,Monroe St & Bedford Ave,40.6851443,-73.95380904
346,10,Bank St & Hudson St,40.73652889,-74.00618026
347,51,Greenwich St & W Houston St,40.728846,-74.008591
349,7,Rivington St & Ridge St,40.71850211,-73.98329859
350,15,Clinton St & Grand St,40.71559509,-73.9870295
351,25,Front St & Maiden Ln,40.70530954,-74.00612572
353,11,S Portland Ave & Hanson Pl,40.68539567,-73.97431458
354,3,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558
355,17,Bayard St & Baxter St,40.71602118,-73.99974372
356,3,Bialystoker Pl & Delancey St,40.71622644,-73.98261206
358,49,Christopher St & Greenwich St,40.73291553,-74.00711384
359,93,E 47 St & Park Ave,40.75510267,-73.97498696
360,20,William St & Pine St,40.70717936,-74.00887308
361,12,Allen St & Hester St,40.71605866,-73.99190759
362,30,Broadway & W 37 St,40.75172632,-73.98753523
363,14,West Thames St,40.70834698,-74.01713445
364,5,Lafayette Ave & Classon Ave,40.68900443,-73.96023854
365,1,Fulton St & Grand Ave,40.68223166,-73.9614583
366,4,Clinton Ave & Myrtle Ave,40.693261,-73.968896
368,24,Carmine St & 6 Ave,40.73038599,-74.00214988
369,8,Washington Pl & 6 Ave,40.73224119,-74.00026394
372,2,Franklin Ave & Myrtle Ave,40.694546087246,-73.9580136537552
373,1,Willoughby Ave & Walworth St,40.69331716,-73.95381995
376,13,John St & William St,40.70862144,-74.00722156
377,52,6 Ave & Canal St,40.72243797,-74.00566443
379,41,W 31 St & 7 Ave,40.749156,-73.9916
380,13,W 4 St & 7 Ave S,40.73401143,-74.00293877
382,21,University Pl & E 14 St,40.73492695,-73.99200509
