miesiac,srednia_dl
january,7.44888019245104
february,10.0889927282521
march,9.10293922449095
april,11.8999279001291
may,13.7353332410867
june,16.2281659480937
july,13.5352375074293
august,13.0478499038547
september,13.5158635231365
october,9.48723601479974
november,11.3180585771341
december,9.01216882941335
