end station id,N,name,latitude,longitude
3057,59,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
3058,36,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
3059,29,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877
3060,40,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915
3061,16,Throop Ave & Myrtle Ave,40.69622937,-73.94371094
3062,43,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908
3063,33,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108
3064,79,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
3065,32,Union Ave & Wallabout St,40.70029511,-73.95032283
3066,35,Tompkins Ave & Hopkins St,40.69957608,-73.94708417
3067,44,Broadway & Whipple St,40.7016657,-73.9437303
3068,32,Humboldt St & Varet St,40.7031724,-73.940636
3069,50,Lorimer St & Broadway,40.70411791,-73.94818595
307,363,Canal St & Rutgers St,40.71427487,-73.98990025
3070,28,McKibbin St & Manhattan Ave,40.70510918,-73.94407279
3071,41,Boerum St & Broadway,40.70538077,-73.94976519
3072,32,Leonard St & Boerum St,40.70583339,-73.94644578
3074,83,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
3075,30,Division Ave & Marcy Ave,40.70708701,-73.95796783
3076,87,Scholes St & Manhattan Ave,40.70870368,-73.9448625
3077,93,Stagg St & Union Ave,40.70877084,-73.95095259
3078,155,Broadway & Roebling St,40.7092482627616,-73.9606314897537
308,165,St James Pl & Oliver St,40.71307916,-73.99851193
3080,78,S 4 St & Rodney St,40.70934,-73.95608
3081,80,Graham Ave & Grand St,40.711863,-73.944024
3082,113,Hope St & Union Ave,40.71167351,-73.95141312
3083,55,Bushwick Ave & Powers St,40.71247661,-73.94100005
3085,99,Roebling St & N 4 St,40.71469,-73.95739
3086,147,Graham Ave & Conselyea St,40.715143,-73.944507
3087,139,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386
3088,47,Union Ave & Jackson St,40.7160751,-73.952029
309,247,Murray St & West St,40.7149787,-74.013012
3091,7,Frost St & Meeker St,40.71764,-73.94882
3092,197,Berry St & N 8 St,40.7190095,-73.95852515
3093,265,N 6 St & Bedford Ave,40.71745169,-73.95850939
3094,56,Graham Ave & Withers St,40.7169811,-73.94485918
3095,45,Graham Ave & Herbert St,40.71929301,-73.94500379
3096,128,Union Ave & N 12 St,40.71924,-73.95242
310,108,State St & Smith St,40.68926942,-73.98912867
3100,79,Nassau Ave & Newell St,40.7248125644002,-73.947526216507
3101,123,N 12 St & Bedford Ave,40.72079821,-73.95484712
3102,85,Driggs Ave & Lorimer St,40.72179134,-73.9504154
3105,44,N 15 St & Wythe Ave,40.724055,-73.955736
3106,100,Driggs Ave & N Henry St,40.72325,-73.94308
3107,164,Bedford Ave & Nassau Ave,40.72311651,-73.95212324
3108,132,Nassau Ave & Russell St,40.72557,-73.94434
3109,95,Banker St & Meserole Ave,40.72606,-73.95621
311,270,Norfolk St & Broome St,40.7172274,-73.98802084
3110,157,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117
3112,173,Milton St & Franklin St,40.72906,-73.95779
3113,132,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394
3115,88,India St & Manhattan Ave,40.73232194,-73.9550858
3116,119,Huron St & Franklin St,40.73266,-73.95826
3117,91,Franklin St & Dupont St,40.73564,-73.95866
3118,120,McGuinness Blvd & Eagle St,40.73555,-73.95284
3119,168,Vernon Blvd & 50 Ave,40.74232744,-73.95411749
312,371,Allen St & Stanton St,40.722055,-73.989111
3121,40,Jackson Ave & 46 Rd,40.74524768,-73.94733276
3122,26,48 Ave & 5 St,40.7443632870669,-73.9558732509613
3123,28,31 St & Thomson Ave,40.74469738,-73.93540375
3124,88,46 Ave & 5 St,40.74731,-73.95451
3125,61,45 Rd & 11 St,40.74708586,-73.94977234
3126,82,44 Dr & Jackson Ave,40.74718234,-73.9432635
3127,28,9 St & 44 Rd,40.74966,-73.9521
3128,32,21 St & 43 Ave,40.75052534,-73.94594845
3129,139,Queens Plaza North & Crescent St,40.75110165,-73.94073717
313,85,Washington Ave & Park Ave,40.69610226,-73.96751037
3130,47,21 St & Queens Plaza North,40.75325964,-73.94335788
3131,80,E 68 St & 3 Ave,40.7671284034954,-73.9622461795807
3132,185,E 59 St & Madison Ave,40.76350532,-73.97109243
3134,154,3 Ave & E 62 St,40.76312584,-73.96526895
3135,105,E 75 St & 3 Ave,40.77112927,-73.95772297
3136,122,5 Ave & E 63 St,40.766368,-73.971518
3137,318,5 Ave & E 73 St,40.77282817,-73.96685276
3139,108,E 72 St & Park Ave,40.7711828754066,-73.964094221592
314,119,Cadman Plaza West & Montague St,40.69383,-73.990539
3140,307,1 Ave & E 78 St,40.77140426,-73.9535166
3141,393,1 Ave & E 68 St,40.76500525,-73.95818491
3142,310,1 Ave & E 62 St,40.7612274,-73.96094022
3143,196,5 Ave & E 78 St,40.7763214218227,-73.964273929596
3144,22,E 81 St & Park Ave,40.77677702,-73.9590097
3145,114,E 84 St & Park Ave,40.77862688,-73.95772073
3146,95,E 81 St & 3 Ave,40.77573034,-73.9567526
3147,78,E 85 St & 3 Ave,40.77801203,-73.95407149
3148,157,E 84 St & 1 Ave,40.77565541,-73.95068615
315,276,South St & Gouverneur Ln,40.70355377,-74.00670227
3150,85,E 85 St & York Ave,40.77536905,-73.94803392
3151,127,E 81 St & York Ave,40.7728384,-73.94989233
3152,66,3 Ave & E 71 St,40.76873687,-73.96119945
3153,6,E 71 St & 2 Ave,40.7681754674225,-73.9591026306152
3154,137,E 77 St & 3 Ave,40.77314236,-73.95856158
3155,100,Lexington Ave & E 63 St,40.76440023,-73.96648977
3156,206,E 72 St & York Ave,40.76663814,-73.95348296
3157,68,East End Ave & E 86 St,40.77518615,-73.94446054
3158,273,W 63 St & Broadway,40.77163851,-73.98261428
3159,252,W 67 St & Broadway,40.77492513,-73.98266566
316,176,Fulton St & William St,40.70955958,-74.00653609
3160,187,Central Park West & W 76 St,40.77896784,-73.97374737
3161,150,W 76 St & Columbus Ave,40.7801839724239,-73.9772853255272
3162,119,W 78 St & Broadway,40.78339981,-73.98093133
3163,243,Central Park West & W 68 St,40.7734066,-73.97782542
3164,329,Columbus Ave & W 72 St,40.7770575,-73.97898475
3165,309,Central Park West & W 72 St,40.7757937668367,-73.9762057363987
3166,155,Riverside Dr & W 72 St,40.7805779901033,-73.9856243133545
3167,309,Amsterdam Ave & W 73 St,40.7796680900731,-73.9809304475784
3168,260,Central Park West & W 85 St,40.78472675,-73.96961715
3169,94,Riverside Dr & W 82 St,40.78720869,-73.98128127
