gender,rok urodzenia,liczba osob,usertype
1,1996,1864,Subscriber
1,1996,627,Customer
2,1996,529,Customer
0,1996,50,Subscriber
0,1996,11,Customer
1,1997,504,Customer
1,1997,677,Subscriber
2,1997,519,Subscriber
0,1997,192,Subscriber
2,1997,240,Customer
0,1997,15,Customer
2,1998,59,Subscriber
1,1998,1413,Subscriber
1,1998,392,Customer
2,1998,151,Customer
0,1998,1,Customer
1,1999,240,Subscriber
1,1999,207,Customer
2,1999,166,Customer
2,1999,52,Subscriber
0,1999,5,Customer
1,2000,183,Customer
1,2000,372,Subscriber
2,2000,149,Customer
2,2000,8,Subscriber
0,2000,1,Customer
1,2001,68,Customer
2,2001,74,Subscriber
2,2001,25,Customer
1,2001,2,Subscriber
1,2002,58,Customer
1,2002,2,Subscriber
2,2002,9,Subscriber
2,2002,42,Customer
1,2003,19,Subscriber
2,2003,36,Customer
1,2003,11,Customer
