id,name,latitude,longitude,N
3165,Central Park West & W 72 St,40.7757937668367,-73.9762057363987,626
470,W 20 St & 8 Ave,40.74345335,-74.00004031,624
3260,Mercer St & Bleecker St,40.7270636334831,-73.9966213703155,620
317,E 6 St & Avenue B,40.72453734,-73.98185424,620
3467,W Broadway & Spring Street,40.7249467235942,-74.0016585588455,617
388,W 26 St & 10 Ave,40.749717753,-74.002950346,612
212,W 16 St & The High Line,40.74334935,-74.00681753,606
251,Mott St & Prince St,40.72317958,-73.99480012,604
412,Forsyth St & Canal St,40.7158155,-73.99422366,600
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,600
529,W 42 St & 8 Ave,40.7575699,-73.99098507,598
3244,University Pl & E 8 St,40.7314372408523,-73.9949034154415,598
515,W 43 St & 10 Ave,40.76009437,-73.99461843,597
377,6 Ave & Canal St,40.72243797,-74.00566443,596
167,E 39 St & 3 Ave,40.7489006,-73.97604882,596
509,9 Ave & W 22 St,40.7454973,-74.00197139,593
257,Lispenard St & Broadway,40.71939226,-74.00247214,590
3282,5 Ave & E 88 St,40.78307,-73.95939,589
305,E 58 St & 3 Ave,40.76095756,-73.96724467,585
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,581
3140,1 Ave & E 78 St,40.77140426,-73.9535166,579
2008,Little West St & 1 Pl,40.70569254,-74.01677685,577
268,Howard St & Centre St,40.71910537,-73.99973337,577
303,Mercer St & Spring St,40.72362738,-73.99949601,574
3158,W 63 St & Broadway,40.77163851,-73.98261428,573
3708,W 13 St & 5 Ave,40.735445,-73.99431,573
265,Stanton St & Chrystie St,40.72229346,-73.99147535,572
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,570
335,Washington Pl & Broadway,40.72903917,-73.99404649,569
304,Broadway & Battery Pl,40.70463334,-74.01361706,568
3724,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,565
3142,1 Ave & E 62 St,40.7612274,-73.96094022,562
319,Fulton St & Broadway,40.711066,-74.009447,560
3259,9 Ave & W 28 St,40.7493702419328,-73.9992338418961,552
540,Lexington Ave & E 29 St,40.7431155537649,-73.9821535348892,550
3016,Kent Ave & N 7 St,40.7203677529846,-73.9616507291794,548
311,Norfolk St & Broome St,40.7172274,-73.98802084,547
484,W 44 St & 5 Ave,40.75500254,-73.98014437,546
3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,544
254,W 11 St & 6 Ave,40.73532427,-73.99800419,541
508,W 46 St & 11 Ave,40.76341379,-73.99667444,540
195,Liberty St & Broadway,40.70905623,-74.01043382,537
72,W 52 St & 11 Ave,40.76727216,-73.99392888,537
3718,E 11 St & Avenue B,40.7274642069239,-73.9795041829348,536
3163,Central Park West & W 68 St,40.7734066,-73.97782542,535
394,E 9 St & Avenue C,40.72521311,-73.97768752,534
546,E 30 St & Park Ave S,40.74444921,-73.98303529,530
315,South St & Gouverneur Ln,40.70355377,-74.00670227,529
533,Broadway & W 38 St,40.75299641,-73.98721619,528
536,1 Ave & E 30 St,40.74144387,-73.97536082,523
469,Broadway & W 53 St,40.76344058,-73.98268129,522
2012,E 27 St & 1 Ave,40.739445,-73.976806,522
3236,W 42 St & Dyer Ave,40.7589848139963,-73.9937996864319,521
382,University Pl & E 14 St,40.73492695,-73.99200509,519
